Total consumption coal Texas all sectors monthly
https://www.eia.gov/opendata/qb.php?category=429&sdid=ELEC.CONS_TOT.COW-TX-99.M
20:47:50 GMT-0600 (Central Standard Time)
Source: U.S. Energy Information Administration
Month,Series ID: ELEC.CONS_TOT.COW-TX-99.M thousand tons
Aug 2019,6126.083
Jul 2019,6287.646
Jun 2019,5894.525
May 2019,5429.113
Apr 2019,4140.951
Mar 2019,4987.308
Feb 2019,5160.485
Jan 2019,5854.458
Dec 2018,6363.717
Nov 2018,6356.268
Oct 2018,6476.976
Sep 2018,7042.591
Aug 2018,7655.999
Jul 2018,7560.935
Jun 2018,7057.297
May 2018,6124.767
Apr 2018,4793.495
Mar 2018,4236.214
Feb 2018,4914.856
Jan 2018,7315.907
Dec 2017,7982.673
Nov 2017,7720.445
Oct 2017,7445.18
Sep 2017,8495.168
Aug 2017,9278.334
Jul 2017,9539.478
Jun 2017,8744.196
May 2017,7769.653
Apr 2017,6624.876
Mar 2017,5809.999
Feb 2017,5971.604
Jan 2017,8105.948
Dec 2016,8728.853
Nov 2016,6592.635
Oct 2016,8376.552
Sep 2016,8901.677
Aug 2016,9252.584
Jul 2016,9583.902
Jun 2016,9042.583
May 2016,6435.346
Apr 2016,4599.417
Mar 2016,3394.725
Feb 2016,4806.559
Jan 2016,6415.659
Dec 2015,5669.28
Nov 2015,5853.96
Oct 2015,6943.134
Sep 2015,8595.402
Aug 2015,9444.519
Jul 2015,9752.878
Jun 2015,9018.336
May 2015,6763.636
Apr 2015,5098.093
Mar 2015,5198.327
Feb 2015,6482.678
Jan 2015,7958.954
Dec 2014,7423.813
Nov 2014,7197.74
Oct 2014,7651.061
Sep 2014,9392.892
Aug 2014,10133.652
Jul 2014,10533.822
Jun 2014,8890.871
May 2014,8832.721
Apr 2014,6686.598
Mar 2014,7673.343
Feb 2014,8344.819
Jan 2014,8896.171
Dec 2013,9419.941
Nov 2013,7300.308
Oct 2013,8032.464
Sep 2013,9454.686
Aug 2013,10411.472
Jul 2013,10500.641
Jun 2013,9820.064
May 2013,8252.186
Apr 2013,6829.676
Mar 2013,7124.66
Feb 2013,7124.615
Jan 2013,8215.982
Dec 2012,8148.621
Nov 2012,8070.709
Oct 2012,8812.839
Sep 2012,9074.307
Aug 2012,9885.19
Jul 2012,9989.709
Jun 2012,9114.047
May 2012,7613.131
Apr 2012,5574.984
Mar 2012,6413.869
Feb 2012,7197.748
Jan 2012,7699.91
Dec 2011,8503.548
Nov 2011,7542.255
Oct 2011,8656.018
Sep 2011,10080.708
Aug 2011,10977.676
Jul 2011,10927.398
Jun 2011,10270.825
May 2011,9383.005
Apr 2011,8717.527
Mar 2011,8127.978
Feb 2011,7607.297
Jan 2011,9632.246
Dec 2010,9099.127
Nov 2010,7989.407
Oct 2010,8192.381
Sep 2010,9117.389
Aug 2010,10187.43
Jul 2010,9941.101
Jun 2010,9684.576
May 2010,8733.122
Apr 2010,6615.111
Mar 2010,7416.246
Feb 2010,7553.58
Jan 2010,8589.165
Dec 2009,8562.671
Nov 2009,7546.238
Oct 2009,7955.672
Sep 2009,7971.277
Aug 2009,9047.883
Jul 2009,9060.742
Jun 2009,8411.531
May 2009,8081.44
Apr 2009,7080.442
Mar 2009,6274.383
Feb 2009,6855.028
Jan 2009,8559.343
Dec 2008,8402.433
Nov 2008,7817.402
Oct 2008,8054.05
Sep 2008,8916.204
Aug 2008,9565.57
Jul 2008,9506.399
Jun 2008,9074.311
May 2008,8472.853
Apr 2008,7822.699
Mar 2008,7142.665
Feb 2008,7942.66
Jan 2008,9122.681
Dec 2007,9184.616
Nov 2007,8478.114
Oct 2007,8350.871
Sep 2007,8679.533
Aug 2007,9509.453
Jul 2007,9624.527
Jun 2007,9190.299
May 2007,8497.548
Apr 2007,7476.251
Mar 2007,6900.425
Feb 2007,7695.544
Jan 2007,9328.607
Dec 2006,8901.987
Nov 2006,8100.478
Oct 2006,8653.126
Sep 2006,9033.207
Aug 2006,9634.693
Jul 2006,9659.691
Jun 2006,8831.173
May 2006,8412.735
Apr 2006,7051.881
Mar 2006,7212.835
Feb 2006,7342.191
Jan 2006,9037.849
Dec 2005,9022.419
Nov 2005,8551.094
Oct 2005,8174.663
Sep 2005,8951.538
Aug 2005,9488.767
Jul 2005,9337.066
Jun 2005,9003.477
May 2005,8752.666
Apr 2005,7019.007
Mar 2005,7844.369
Feb 2005,7962.916
Jan 2005,9392.716
Dec 2004,9268.434
Nov 2004,7817.457
Oct 2004,8450.923
Sep 2004,9285.829
Aug 2004,9572.532
Jul 2004,9564.684
Jun 2004,8962.898
May 2004,9141.942
Apr 2004,7395.838
Mar 2004,7294.936
Feb 2004,8243.27
Jan 2004,9104.206
Dec 2003,8879.981
Nov 2003,8225.612
Oct 2003,8629.86
Sep 2003,9057.746
Aug 2003,9380.878
Jul 2003,9212.188
Jun 2003,9074.08
May 2003,8649.123
Apr 2003,7629.428
Mar 2003,6865.839
Feb 2003,7516.398
Jan 2003,9453.196
Dec 2002,8780.632
Nov 2002,7591.186
Oct 2002,7784.255
Sep 2002,8458.07
Aug 2002,9198.243
Jul 2002,9173.533
Jun 2002,8850.979
May 2002,8435.38
Apr 2002,7188.881
Mar 2002,7075.996
Feb 2002,7445.423
Jan 2002,7881.152
Dec 2001,8198.057
Nov 2001,7010.164
Oct 2001,6828.589
Sep 2001,8250.066
Aug 2001,9099.212
Jul 2001,9325.17
Jun 2001,8515.072
May 2001,8163.586
Apr 2001,6900.272
Mar 2001,7610.386
Feb 2001,7220.569
Jan 2001,8002.784
