Coal,gas,Total_source,Total_source_corrected_population,Av Temp,Max Temp,Min Temp
6900.425,145635.644,152591.851,0.0063791709999999995,61.9,73.7,50.0
7476.251,141247.367,148772.301,0.006210136999999999,61.7,74.0,49.4
8497.548,152137.215,160687.834,0.006697448000000001,71.4,81.5,61.2
9190.299,173633.792,182874.49800000002,0.007610754,77.9,88.5,67.2
9624.527,183174.617,192836.687,0.008013336,79.0,88.9,69.1
9509.453000000001,221716.849,231264.74800000002,0.009595846,81.8,92.7,71.0
8679.533000000001,181752.908,190464.198,0.007891113,77.1,88.2,66.1
8350.871,157392.807,165779.9,0.00685818,68.6,82.7,54.6
8478.114,128223.653,136723.605,0.005647725,57.6,70.4,44.8
9184.616,132632.432,141831.645,0.005850018,49.2,62.6,35.6
9122.681,141100.126,150263.241,0.00618859,46.1,59.0,33.2
7942.66,121331.536,129311.773,0.005317812,53.2,68.4,38.0
7142.665,139496.029,146650.428,0.006021922,58.4,72.6,44.2
7822.6990000000005,135657.413,143501.712,0.0058839190000000005,65.3,79.6,50.9
8472.853000000001,164601.809,173096.60100000002,0.00708691,74.3,87.2,61.4
9074.311,195924.335,205022.03,0.008381633000000001,82.9,95.5,70.3
9506.399,210383.995,219906.99,0.008976929,81.7,93.4,70.1
9565.57,207169.617,216742.572,0.008834756,80.8,91.8,69.8
8916.204,139008.44199999998,147932.854,0.006021123000000001,73.3,85.1,61.4
8054.05,136520.174,144588.419,0.00587638,65.4,79.3,51.5
7817.401999999999,109854.457,117689.705,0.004776164,56.8,70.9,42.6
8402.433,119302.94699999999,127725.147,0.00517586,48.2,62.1,34.3
8559.343,122806.99,131415.164,0.005317626,47.9,63.1,32.7
6855.028,102114.114,109005.84599999999,0.0044044259999999995,55.5,70.5,40.6
6274.383000000001,130732.132,137043.831,0.005529261,59.5,72.7,46.3
7080.441999999999,115913.66699999999,123024.436,0.004956419,64.8,78.6,51.1
8081.44,150252.989,158365.1,0.006370977,73.6,85.6,61.5
8411.530999999999,197308.733,205736.717,0.00826474,81.7,94.3,69.1
9060.742,215041.246,224110.03100000002,0.008989809,84.1,96.4,71.8
9047.883,216512.492,225568.98100000003,0.009035271999999999,83.3,95.9,70.6
7971.276999999999,161923.018,169905.617,0.00679584,74.1,85.0,63.2
7955.672,134232.551,142202.995,0.005679610999999999,64.2,75.6,52.7
7546.238,106424.149,113991.79800000001,0.004546308,57.3,70.9,43.6
8562.671,137299.491,145890.035,0.005810147,43.1,53.9,32.3
8589.165,144004.848,152674.277,0.006071619,44.4,56.5,32.4
7553.58,131651.576,139223.339,0.005527525,44.0,54.0,33.9
7416.246,112044.727,119477.198,0.004735708,54.8,68.3,41.4
6615.111,127652.304,134297.236,0.00531434,65.0,77.4,52.7
8733.122,152036.216,160786.073,0.006352055,73.8,86.0,61.5
9684.576,177088.366,186787.021,0.0073671119999999994,82.7,94.2,71.1
9941.101,186688.095,196639.74899999998,0.0077429740000000006,81.4,90.9,71.8
10187.43,220037.948,230238.43399999998,0.009051101,84.4,97.0,71.7
9117.389000000001,160425.402,169553.24,0.006654539,77.7,89.2,66.2
8192.381,124740.34599999999,132940.796,0.005209062,67.2,82.0,52.3
7989.406999999999,113608.74900000001,121618.896,0.004757655,56.6,70.9,42.3
9099.127,119382.90199999999,128494.43699999999,0.005018430999999999,49.2,63.0,35.4
9632.246,134022.742,143664.44,0.005601777,45.0,58.2,31.7
7607.297,124031.019,131780.12300000002,0.00513099,48.7,62.9,34.5
8127.978,111647.368,119794.216,0.004657606,61.8,76.2,47.5
8717.527,139317.669,148046.749,0.005747809,70.3,85.7,54.9
9383.005,149383.324,158775.32,0.0061555080000000005,74.1,87.8,60.3
10270.825,188810.643,199094.164,0.007707575,85.2,99.0,71.4
10927.398000000001,228326.06699999998,239263.93600000002,0.009249445,87.0,99.7,74.2
10977.676000000001,245738.137,256724.198,0.009910267,88.2,101.6,74.7
10080.708,172803.871,182897.12699999998,0.007050280999999999,77.9,92.6,63.1
8656.018,133994.911,142672.982,0.0054919059999999995,66.9,81.1,52.8
7542.255,124548.30900000001,132099.73,0.005077689,56.9,70.3,43.5
8503.548,145913.199,154440.233,0.005928,46.1,55.7,36.5
7699.91,145436.65300000002,153151.75400000002,0.005870218000000001,50.4,64.4,36.5
7197.7480000000005,133211.788,140421.167,0.005375397,51.8,62.9,40.6
6413.869000000001,148366.394,154793.104,0.005918014,63.2,75.6,50.8
5574.984,167470.25400000002,173072.288,0.006608441,70.2,83.9,56.6
7613.130999999999,178252.115,185932.854,0.007090476,75.5,87.7,63.3
9114.046999999999,197355.84600000002,206523.693,0.007865705,82.4,95.1,69.6
9989.709,213003.676,223009.012,0.008482803,83.4,95.1,71.6
9885.19,219262.509,229164.884,0.008705926,83.7,96.4,71.0
9074.306999999999,170072.849,179164.043,0.006797799,76.6,89.2,64.1
8812.839,135786.759,144614.837,0.005480014,65.9,78.5,53.2
8070.709,125259.43199999999,133342.991,0.005046508,59.0,73.4,44.6
8148.621,133368.344,141531.484,0.0053496640000000005,51.1,64.6,37.4
8215.982,144621.08,152862.466,0.005770689,47.9,59.4,36.4
7124.615,116614.038,123752.308,0.004664599,51.7,64.9,38.4
7124.66,127494.63900000001,134631.878,0.005066922,57.2,71.8,42.6
6829.6759999999995,134004.35,140853.41,0.005292976,63.0,77.1,48.9
8252.186,145338.938,153610.929,0.005763575,72.5,85.2,59.8
9820.064,176589.893,186423.042,0.006984056,81.8,94.0,69.7
10500.641000000001,194015.427,204524.872,0.007650565,81.3,92.7,69.9
10411.472,215339.655,225760.694,0.008432105,83.3,95.8,70.8
9454.686,182178.58899999998,191645.25199999998,0.007147053,78.2,90.2,66.2
8032.464,146369.988,154417.815,0.005750011,66.7,79.1,54.2
7300.308000000001,142325.595,149641.184,0.005563725,52.9,64.3,41.5
9419.940999999999,154176.641,163635.61,0.006074865,44.8,56.7,32.9
8896.171,145138.548,154048.202,0.005710323000000001,44.5,59.0,30.0
8344.819,127621.55,136007.06,0.0050336420000000005,48.4,61.1,35.7
7673.343000000001,131353.75400000002,139054.64800000002,0.005138356,54.8,68.9,40.7
6686.598000000001,134850.26,141546.188,0.005222228,65.4,79.1,51.7
8832.721,147653.282,156502.59699999998,0.005764998,72.0,85.1,59.0
8890.871,168598.34399999998,177512.06699999998,0.006528698,80.6,91.4,69.8
10533.822,192000.301,202544.68899999998,0.007437752,81.7,93.1,70.3
10133.652,212546.465,222691.792,0.00816485,82.6,94.7,70.6
9392.892,172001.345,181417.18300000002,0.006641200999999999,76.4,86.6,66.2
7651.061,153476.249,161141.12900000002,0.005889791,69.6,82.8,56.4
7197.74,137388.946,144602.22400000002,0.005277094,51.5,63.6,39.4
7423.813,145960.732,153401.41,0.005589546,50.7,60.5,40.9
7958.954000000001,167285.253,175260.13199999998,0.006376153000000001,44.0,54.6,33.3
6482.678000000001,148661.467,155163.607,0.005637316999999999,48.2,60.4,36.1
5198.327,164553.15,169774.178,0.006159735,56.2,67.4,45.0
5098.093,153342.924,158458.293,0.00574135,66.6,78.1,55.0
6763.6359999999995,159758.566,166558.594,0.006026644,71.6,81.9,61.3
9018.336,183039.181,192079.324,0.0069406369999999995,79.3,89.9,68.6
9752.878,220927.104,230698.22699999998,0.008324803,83.2,94.5,71.9
9444.519,226342.86899999998,235802.697,0.008497483,83.3,96.1,70.5
