year,month,Coal,gas,petroleum,Total_source,Total_source_corrected_population,Av Temp,Max Temp,Min Temp,population
2016,Aug,9252.584,215519.692,14.753,224787.029,0.007981868,81.5,92.2,70.9,28162206.58
2016,Sep,8901.677,182725.244,12.959,191639.88,0.006797112,77.6,88.4,66.7,28194308.67
2016,Oct,8376.552,147810.532,10.937,156198.021,0.005533754,70.9,84,57.7,28226410.75
2016,Nov,6592.635,131583.915,14.499,138191.049,0.004890245,61,72.5,49.6,28258512.83
2016,Dec,8728.853,126416.047,19.01,135163.91,0.004777694,49.6,60.2,38.9,28290614.92
2017,Jan,8105.948,123126.984,10.064,131242.996,0.004633842,50.8,63,38.6,28322717
2017,Feb,5971.604,109181.755,12.256,115165.615,0.004061662,58.4,72,44.8,28354311
2017,Mar,5809.999,128899.411,14.288,134723.698,0.004746148,63.6,76.4,50.7,28385905
2017,Apr,6624.876,129717.583,12.022,136354.481,0.004798258,67.1,80.1,54.2,28417499
2017,May,7769.653,145610.379,19.317,153399.349,0.005392065,72,85,59,28449093
2017,Jun,8744.196,185166.183,9.72,193920.099,0.006808828,80.6,92.3,68.8,28480687
2017,Jul,9539.478,226095.756,13.813,235649.047,0.008264826,83.6,95.5,71.6,28512281
2017,Aug,9278.334,207543.187,17.505,216839.026,0.007596692,80.6,91.2,70.1,28543875
2017,Sep,8495.168,156749.059,10.621,165254.848,0.005783102,76.5,88.4,64.6,28575469
2017,Oct,7445.18,141429.63,12.598,148887.408,0.005204568,66.5,80,53.1,28607063
2017,Nov,7720.445,120393.267,14.709,128128.421,0.004473968,60.3,73.2,47.4,28638657
2017,Dec,7982.673,149953.598,13.169,157949.44,0.005509175,47.8,59.7,35.9,28670251
2018,Jan,7315.907,163398.558,18.747,170733.212,0.00594851,43.9,57.8,29.9,28701845
2018,Feb,4914.856,141260.871,8.856,146184.583,0.005087522,52.3,64.7,40,28733947.08
2018,Mar,4236.214,145257.894,9.608,149503.716,0.005197228,61.7,75,48.4,28766049.17
2018,Apr,4793.495,136464.138,21.387,141279.02,0.004905836,63,77.8,48.2,28798151.25
2018,May,6124.767,189187.177,17.378,195329.322,0.006775151,78,90.9,65.2,28830253.33
2018,Jun,7057.297,201589.135,17.617,208664.049,0.007229626,83.9,95.8,72,28862355.42
2018,Jul,7560.935,251921.472,10.613,259493.02,0.00898072,84.5,96.9,72,28894457.5
2018,Aug,7655.999,231724.319,9.114,239389.432,0.008275766,83.1,95,71.1,28926559.58
2018,Sep,7042.591,191726.775,9.558,198778.924,0.00686423,76.3,85.7,66.9,28958661.67
2018,Oct,6476.976,165499.401,8.295,171984.672,0.005932395,65.4,74.6,56.2,28990763.75
2018,Nov,6356.268,145459.215,15.142,151830.625,0.005231414,52,63.9,40.1,29022865.83
2018,Dec,6363.717,152711.229,9.93,159084.876,0.005475307,48.3,59.2,37.4,29054967.92
2019,Jan,5854.458,164538.439,10.217,170403.114,0.00585838,47.2,58.8,35.6,29087070
