year,month,Coal,gas,petroleum,Av Temp,Max Temp,Min Temp
2007,Mar,6900.425,145635.644,55.782,61.9,73.7,50
2007,Apr,7476.251,141247.367,48.683,61.7,74,49.4
2007,May,8497.548,152137.215,53.071,71.4,81.5,61.2
2007,Jun,9190.299,173633.792,50.407,77.9,88.5,67.2
2007,Jul,9624.527,183174.617,37.543,79,88.9,69.1
2007,Aug,9509.453,221716.849,38.446,81.8,92.7,71
2007,Sep,8679.533,181752.908,31.757,77.1,88.2,66.1
2007,Oct,8350.871,157392.807,36.222,68.6,82.7,54.6
2007,Nov,8478.114,128223.653,21.838,57.6,70.4,44.8
2007,Dec,9184.616,132632.432,14.597,49.2,62.6,35.6
2008,Jan,9122.681,141100.126,40.434,46.1,59,33.2
2008,Feb,7942.66,121331.536,37.577,53.2,68.4,38
2008,Mar,7142.665,139496.029,11.734,58.4,72.6,44.2
2008,Apr,7822.699,135657.413,21.6,65.3,79.6,50.9
2008,May,8472.853,164601.809,21.939,74.3,87.2,61.4
2008,Jun,9074.311,195924.335,23.384,82.9,95.5,70.3
2008,Jul,9506.399,210383.995,16.596,81.7,93.4,70.1
2008,Aug,9565.57,207169.617,7.385,80.8,91.8,69.8
2008,Sep,8916.204,139008.442,8.208,73.3,85.1,61.4
2008,Oct,8054.05,136520.174,14.195,65.4,79.3,51.5
2008,Nov,7817.402,109854.457,17.846,56.8,70.9,42.6
2008,Dec,8402.433,119302.947,19.767,48.2,62.1,34.3
2009,Jan,8559.343,122806.99,48.831,47.9,63.1,32.7
2009,Feb,6855.028,102114.114,36.704,55.5,70.5,40.6
2009,Mar,6274.383,130732.132,37.316,59.5,72.7,46.3
2009,Apr,7080.442,115913.667,30.327,64.8,78.6,51.1
2009,May,8081.44,150252.989,30.671,73.6,85.6,61.5
2009,Jun,8411.531,197308.733,16.453,81.7,94.3,69.1
2009,Jul,9060.742,215041.246,8.043,84.1,96.4,71.8
2009,Aug,9047.883,216512.492,8.606,83.3,95.9,70.6
2009,Sep,7971.277,161923.018,11.322,74.1,85,63.2
2009,Oct,7955.672,134232.551,14.772,64.2,75.6,52.7
2009,Nov,7546.238,106424.149,21.411,57.3,70.9,43.6
2009,Dec,8562.671,137299.491,27.873,43.1,53.9,32.3
2010,Jan,8589.165,144004.848,80.264,44.4,56.5,32.4
2010,Feb,7553.58,131651.576,18.183,44,54,33.9
2010,Mar,7416.246,112044.727,16.225,54.8,68.3,41.4
