Year,Month,Av Temp,Max Temp,Min Temp,,,
2014,Dec,50.7,60.5,40.9,,,
2015,Jan,44,54.6,33.3,,,
2015,Feb,48.2,60.4,36.1,,,
2015,Mar,56.2,67.4,45,,,
2015,Apr,66.6,78.1,55,,,
2015,May,71.6,81.9,61.3,,,
2015,Jun,79.3,89.9,68.6,,,
2015,Jul,83.2,94.5,71.9,,,
2015,Aug,83.3,96.1,70.5,,,
2015,Sep,79.2,91.6,66.9,,,
2015,Oct,69.2,81.6,56.8,,,
2015,Nov,57.3,68.3,46.3,,,
2015,Dec,51.5,64.1,38.8,,,
2016,Jan,46.4,58.8,34,,,
2016,Feb,54.4,69,39.7,,,
2016,Mar,61.2,74.3,48.2,,,
2016,Apr,66.1,78.6,53.5,,,
2016,May,71.6,82.8,60.4,,,
2016,Jun,80.1,91.2,68.9,,,
2016,Jul,85.4,97.4,73.4,,,
2016,Aug,81.5,92.2,70.9,,,
2016,Sep,77.6,88.4,66.7,,,
2016,Oct,70.9,84,57.7,,,
2016,Nov,61,72.5,49.6,,,
2016,Dec,49.6,60.2,38.9,,,
2017,Jan,50.8,63,38.6,,,
2017,Feb,58.4,72,44.8,,,
2017,Mar,63.6,76.4,50.7,,,
2017,Apr,67.1,80.1,54.2,,,
2017,May,72,85,59,,,
2017,Jun,80.6,92.3,68.8,,,
2017,Jul,83.6,95.5,71.6,,,
2017,Aug,80.6,91.2,70.1,,,
2017,Sep,76.5,88.4,64.6,,,
2017,Oct,66.5,80,53.1,,,
2017,Nov,60.3,73.2,47.4,,,
2017,Dec,47.8,59.7,35.9,,,
2018,Jan,43.9,57.8,29.9,,,
2018,Feb,52.3,64.7,40,,,
2018,Mar,61.7,75,48.4,,,
2018,Apr,63,77.8,48.2,,,
2018,May,78,90.9,65.2,,,
2018,Jun,83.9,95.8,72,,,
2018,Jul,84.5,96.9,72,,,
2018,Aug,83.1,95,71.1,,,
2018,Sep,76.3,85.7,66.9,,,
2018,Oct,65.4,74.6,56.2,,,
2018,Nov,52,63.9,40.1,,,
2018,Dec,48.3,59.2,37.4,,,
2019,Jan,47.2,58.8,35.6,,,
